                             LIFT FILES                 09 JAN 90

File Name          Airfoil             Re (Nom)  (Actual)    Data Points

AQUILA.06          AQUILA                  60K     59343.        132
AQUILA.08          AQUILA                  80K     78441.        132
AQUILA.10          AQUILA                 100K    101444.        132

CLARK-Y.06         CLARK-Y                 60K     60454.        117
CLARK-Y.08         CLARK-Y                 80K     81710.        117
CLARK-Y.10         CLARK-Y                100K     98941.        117

DAE51.06           DAE51                   60K     62483.        117
DAE51.08           DAE51                   80K     80693.        117
DAE51.10           DAE51                  100K    100727.        117

E205B.04           E205B                   40K     39528.        122
E205B.06           E205B                   60K     58925.        122
E205B.08           E205B                   80K     83049.        122
E205B.10           E205B                  100K    100025.        122

E214CF0.04         E214C  0 DEG FLAP       40K     40937.        112
E214CF0.06         E214C  0 DEG FLAP       60K     60677.        112
E214CF0.08         E214C  0 DEG FLAP       80K     79201.        112
E214CF0.10         E214C  0 DEG FLAP      100K    100890.        112

E374C.06           E374B                   60K     60325.        132
E374C.08           E374B                   80K     80398.        132
E374C.10           E374B                  100K    101252.        132

E387A.04           E387A                   40K     40512.        117
E387A.06           E387A                   60K     61706.        117
E387A.08           E387A                   80K     79758.        117
E387A.10           E387A                  100K     99898.        117

FP.10              FLAT PLATE             100K    101541.        117

FX63-137.06        FX 63-137               60K     62228.         68
FX63-137.10        FX 63-137              100K     98257.         68

HQ2-9A.06          HQ2/9A                  60K     59692.        137
HQ2-9A.06B         HQ2/9A                  60K     57742.         60
HQ2-9A.06C         HQ2/9A                  54K     54103.         61
HQ2-9A.06D         HQ2/9A                  60K     59676.         61
HQ2-9A.10          HQ2/9A                 100K    101265.         61
HQ2-9A.20          HQ2/9A                 200K    198829.         61

HQ2-9B.06          HQ2/9B                  60K     60083.        117
HQ2-9B.08          HQ2/9B                  80K     80104.        117
HQ2-9B.10          HQ2/9B                 100K    101503.        117
HQ2-9B.20T         HQ2/9B                 200K    200603.        117

MB253515.02        MB253515                20K     18557.        127
MB253515.03        MB253515                30K     29302.        127
MB253515.04        MB253515                40K     40442.        127
MB253515.05        MB253515                50K     50280.        127
MB253515.06        MB253515                60K     59777.        127
MB253515.07        MB253515                70K     70064.        127
MB253515.08        MB253515                80K     81074.        127
MB253515.08        MB253515                80K     81074.        127
MB253515.09        MB253515                90K     90057.        127
MB253515.10        MB253515               100K    100107.        127

MILEY.06           MILEY                   60K     59195.         68
MILEY.10           MILEY                  100K    100588.         68
MILEY.20           MILEY                  200K    200546.         68
MILEY.30           MILEY                  300K    301581.          8

NACA0009.04        NACA 0009               40K     39717.        117
NACA0009.06        NACA 0009               60K     58302.        117
NACA0009.08        NACA 0009               80K     81083.        117
NACA0009.10        NACA 0009              100K     99944.        117

NACA2411.06        NACA 2.5411             60K     58817.        117
NACA2411.08        NACA 2.5411             80K     81506.        117
NACA2411.10        NACA 2.5411            100K    101017.        132

NACA64.06          NACA 64A010             60K     60023.        117
NACA64.08          NACA 64A010             80K     79755.        117
NACA64.10          NACA 64A010            100K    100598.        117

NACA6409.04        NACA 6409               40K     39322.        107
NACA6409.05        NACA 6409               50K     50619.        107
NACA6409.06        NACA 6409               60K     58178.        107
NACA6409.07        NACA 6409               70K     69855.        107
NACA6409.08        NACA 6409               80K     81356.        107

RG15.06            RG15                    60K     58585.        117
RG15.08            RG15                    80K     81431.        117
RG15.10            RG15                   100K    103229.        117

S2048.06           S2048                   60K     59436.        117
S2048.08           S2048                   80K     79428.        117
S2048.10           S2048                  100K    102503.        132

S2091B.06          S2091B                  60K     60737.        132
S2091B.08          S2091B                  80K     80541.        132
S2091B.10          S2091B                 100K    100312.        132
S2091B.20G         S2091B GF3             200K    199704.        117

S3010.06           S3010                   60K     60287.        117
S3010.08           S3010                   80K     81074.        117
S3010.10           S3010                  100K    100031.        117

S3014.06           S3014                   60K     60984.        117
S3014.08           S3014                   80K     81101.        117
S3014.10           S3014                  100K    101176.        117

S3021A.06          S3021A                  60K     59791.        117
S3021A.08          S3021A                  80K     79818.        117
S3021A.10          S3021A                 100K    101568.        117

S4061B.06          S4061B                  60K     63445.        132
S4061B.08          S4061B                  80K     82091.        132
S4061B.10          S4061B                 100K     99369.        132

S4233.06           S4233                   60K     58948.        132
S4233.08           S4233                   80K     78980.        132
S4233.10           S4233                  100K    101072.        117
S4233.10R          S4233                  100K    100881.        132

SD2030.06          SD2030                  60K     59269.        117
SD2030.08          SD2030                  80K     81322.        117
SD2030.10          SD2030                 100K     98952.        117

SD5060.06          SD5060                  60K     60006.        117
SD5060.08          SD5060                  80K     81305.        117
SD5060.10          SD5060                 100K    100153.        117

SD6060.06          SD6060                  60K     59540.        117
SD6060.08          SD6060                  80K     79464.        117
SD6060.10          SD6060                 100K     99307.        117

SD7003.06          SD7003                  60K     58713.        117
SD7003.08          SD7003                  80K     79856.        117
SD7003.10          SD7003                 100K    104113.        117

SD7032C.06         SD7032C  0 DEG FLAP     60K     61942.        117
SD7032C.08         SD7032C  0 DEG FLAP     80K     80111.        117
SD7032C.10         SD7032C  0 DEG FLAP    100K    101186.        117

SD7043.06          SD7043                  60K     59735.        117
SD7043.08          SD7043                  80K     78828.        117
SD7043.10          SD7043                 100K     98939.        117

SD7080.06          SD7080                  60K     58670.        117
SD7080.08          SD7080                  80K     80288.        132
SD7080.10          SD7080                 100K    101979.        132

SD7084.06          SD7084                  60K     60910.        117
SD7084.08          SD7084                  80K     80516.        117
SD7084.10          SD7084                 100K    100579.        117
SD7084.10R         SD7084                 100K    101082.        117

SD7090.06          SD7090                  60K     61000.        117
SD7090.08          SD7090                  80K     75702.        117
SD7090.08R         SD7090                  80K     79881.        117
SD7090.10          SD7090                 100K     99709.        117

SD8000.06          SD8000                  60K     60113.        117
SD8000.08          SD8000                  80K     80397.        117
SD8000.10          SD8000                 100K    101595.        117

SD8020.04          SD8020                  40K     40823.        117
SD8020.06          SD8020                  60K     59089.        117
SD8020.08          SD8020                  80K     80630.        117
SD8020.10          SD8020                 100K    100340.        117

SPICA.08           SPICA                   80K     79299.        142
SPICA.10           SPICA                  100K     99349.        142
SPICA.15           SPICA                  150K    150743.        132

WB135-35.04        WB135/35                40K     39067.        112
WB135-35.06        WB135/35                60K     60025.        112
WB135-35.08        WB135/35                80K     82026.        112
WB135-35.10        WB135/35               100K    101095.        112
