;Selig S5020-084
;A flying wing section	with slightly more lift and a norrower drag bucket than 
;S5010. This aerofoil is more suitable for soaring.
;Alpha0 = 0.82 degrees
;Cmo = 0.0084
;Eta = 1.068
1.0000	0.00000
.99683	-.00001
.98736	0.00000
.97160	0.00015
.94964	0.00066
.92171	0.00186
.88833	0.00413
.85028	0.00766
.80840	0.01234
.76339	0.01795
.71594	0.02430
.66672	0.03116
.61644	0.03827
.56576	0.04524
.51519	0.05170
.46516	0.05736
.41608	0.06198
.36830	0.06539
.32218	0.06748
.27803	0.06821
.23620	0.06759
.19702	0.06565
.16081	0.06244
.12785	0.05802
.09837	0.05249
.07257	0.04596
.05059	0.03862
.03252	0.03065
.01843	0.02234
.00833	0.01401
.00219	0.00613
.00002	-.00049
.00308	-.00507
.01226	-.00815
.02727	-.01037
.04807	-.01192
.07434	-.01310
.10563	-.01404
.14148	-.01478
.18141	-.01534
.22491	-.01569
.27150	-.01583
.32064	-.01576
.37179	-.01550
.42436	-.01507
.47776	-.01449
.53139	-.01379
.58462	-.01297
.63687	-.01206
.68752	-.01108
.73601	-.01004
.78178	-.00896
.82430	-.00785
.86308	-.00672
.89767	-.00557
.92767	-.00440
.95276	-.00317
.97279	-.00188
.98763	-.00079
.99686	-.00018
1.00001	0.00000
end

